ticker,instrument,name,sector,currency,created_date,last_updated_date
AVY,stock,Avery Dennison,Paper & Plastic Packaging Products & Materials,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
AXON,stock,Axon Enterprise,Aerospace & Defense,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BKR,stock,Baker Hughes,Oil & Gas Equipment & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BALL,stock,Ball Corporation,"Metal, Glass & Plastic Containers",USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BAC,stock,Bank of America,Diversified Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BK,stock,Bank of New York Mellon,Asset Management & Custody Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BBWI,stock,"Bath & Body Works, Inc.",Other Specialty Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BAX,stock,Baxter International,Health Care Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BDX,stock,Becton Dickinson,Health Care Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BRK.B,stock,Berkshire Hathaway,Multi-Sector Holdings,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BBY,stock,Best Buy,Computer & Electronics Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BIO,stock,Bio-Rad,Life Sciences Tools & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
TECH,stock,Bio-Techne,Life Sciences Tools & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BIIB,stock,Biogen,Biotechnology,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BLK,stock,BlackRock,Asset Management & Custody Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BX,stock,Blackstone,Asset Management & Custody Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BA,stock,Boeing,Aerospace & Defense,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BKNG,stock,Booking Holdings,"Hotels, Resorts & Cruise Lines",USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BWA,stock,BorgWarner,Automotive Parts & Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BSX,stock,Boston Scientific,Health Care Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BMY,stock,Bristol Myers Squibb,Pharmaceuticals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
AVGO,stock,Broadcom Inc.,Semiconductors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BR,stock,Broadridge Financial Solutions,Data Processing & Outsourced Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BRO,stock,Brown & Brown,Insurance Brokers,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BF.B,stock,Brown–Forman,Distillers & Vintners,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BLDR,stock,Builders FirstSource,Building Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BG,stock,Bunge Global SA,Agricultural Products & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
BXP,stock,"BXP, Inc.",Office REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CDNS,stock,Cadence Design Systems,Application Software,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CZR,stock,Caesars Entertainment,Casinos & Gaming,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CPT,stock,Camden Property Trust,Multi-Family Residential REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CPB,stock,Campbell Soup Company,Packaged Foods & Meats,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
COF,stock,Capital One,Consumer Finance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CAH,stock,Cardinal Health,Health Care Distributors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
KMX,stock,CarMax,Automotive Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CCL,stock,Carnival,"Hotels, Resorts & Cruise Lines",USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CARR,stock,Carrier Global,Building Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CTLT,stock,Catalent,Pharmaceuticals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CAT,stock,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CBOE,stock,Cboe Global Markets,Financial Exchanges & Data,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CBRE,stock,CBRE Group,Real Estate Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CDW,stock,CDW,Technology Distributors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CE,stock,Celanese,Specialty Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
COR,stock,Cencora,Health Care Distributors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CNC,stock,Centene Corporation,Managed Health Care,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CNP,stock,CenterPoint Energy,Multi-Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CF,stock,CF Industries,Fertilizers & Agricultural Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CHRW,stock,CH Robinson,Air Freight & Logistics,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CRL,stock,Charles River Laboratories,Life Sciences Tools & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
SCHW,stock,Charles Schwab Corporation,Investment Banking & Brokerage,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CHTR,stock,Charter Communications,Cable & Satellite,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CVX,stock,Chevron Corporation,Integrated Oil & Gas,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CMG,stock,Chipotle Mexican Grill,Restaurants,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CB,stock,Chubb Limited,Property & Casualty Insurance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CHD,stock,Church & Dwight,Household Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CI,stock,Cigna,Health Care Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CINF,stock,Cincinnati Financial,Property & Casualty Insurance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CTAS,stock,Cintas,Diversified Support Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CSCO,stock,Cisco,Communications Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
C,stock,Citigroup,Diversified Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CFG,stock,Citizens Financial Group,Regional Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CLX,stock,Clorox,Household Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CME,stock,CME Group,Financial Exchanges & Data,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CMS,stock,CMS Energy,Multi-Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
KO,stock,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CTSH,stock,Cognizant,IT Consulting & Other Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CL,stock,Colgate-Palmolive,Household Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CMCSA,stock,Comcast,Cable & Satellite,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CAG,stock,Conagra Brands,Packaged Foods & Meats,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
COP,stock,ConocoPhillips,Oil & Gas Exploration & Production,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ED,stock,Consolidated Edison,Multi-Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
STZ,stock,Constellation Brands,Distillers & Vintners,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CEG,stock,Constellation Energy,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
COO,stock,CooperCompanies,Health Care Supplies,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CPRT,stock,Copart,Diversified Support Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
GLW,stock,Corning Inc.,Electronic Components,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CPAY,stock,Corpay,Transaction & Payment Processing Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CTVA,stock,Corteva,Fertilizers & Agricultural Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CSGP,stock,CoStar Group,Real Estate Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
