stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
中船特气,688146.SH,20231229,33.72,34.14,33.6,34.01,33.75,0.26,0.7704,9056.93,30761.911
中船特气,688146.SH,20231228,33.11,33.84,32.7,33.75,33.11,0.64,1.933,12707.39,42448.842
中船特气,688146.SH,20231227,32.98,33.3,32.75,33.11,32.98,0.13,0.3942,8410.31,27758.135
中船特气,688146.SH,20231226,33.16,33.45,32.6,32.98,33.16,-0.18,-0.5428,11106.01,36533.281
中船特气,688146.SH,20231225,33.29,33.67,32.91,33.16,33.37,-0.21,-0.6293,8137.66,26954.751
中船特气,688146.SH,20231222,33.68,34.21,33.01,33.37,33.72,-0.35,-1.038,11740.85,39651.142
中船特气,688146.SH,20231221,33.9,34.29,33.47,33.72,34.2,-0.48,-1.4035,14687.04,49540.586
中船特气,688146.SH,20231220,34.59,34.99,34.13,34.2,34.59,-0.39,-1.1275,6706.79,23157.386
中船特气,688146.SH,20231219,34.05,34.73,33.85,34.59,34.12,0.47,1.3775,8475.04,29160.693
中船特气,688146.SH,20231218,35.1,35.1,34.12,34.12,34.98,-0.86,-2.4585,9038.88,31118.965
中船特气,688146.SH,20231215,35.5,35.78,34.76,34.98,35.5,-0.52,-1.4648,10283.48,36031.274
中船特气,688146.SH,20231214,35.91,36.2,35.5,35.5,35.8,-0.3,-0.838,10356.25,37020.867
中船特气,688146.SH,20231213,35.91,36.16,35.69,35.8,36.12,-0.32,-0.8859,12186.46,43768.681
中船特气,688146.SH,20231212,35.8,36.49,35.54,36.12,35.62,0.5,1.4037,22270.11,80447.696
中船特气,688146.SH,20231211,35.18,35.64,34.81,35.62,35.45,0.17,0.4795,17693.38,62244.65
中船特气,688146.SH,20231208,35.45,36.26,35.31,35.45,35.61,-0.16,-0.4493,36722.98,131315.99
中船特气,688146.SH,20231207,35.01,35.8,34.85,35.61,35.25,0.36,1.0213,22422.75,79165.696
中船特气,688146.SH,20231206,34.46,35.68,34.46,35.25,34.5,0.75,2.1739,19500.21,68615.451
中船特气,688146.SH,20231205,34.7,35.07,34.31,34.5,34.9,-0.4,-1.1461,17881.45,61968.947
中船特气,688146.SH,20231204,34.35,35.7,34.23,34.9,34.01,0.89,2.6169,23515.15,82251.567
中船特气,688146.SH,20231201,34.6,34.6,33.55,34.01,34.5,-0.49,-1.4203,16619.14,56292.815
中船特气,688146.SH,20231130,34.84,35.59,34.23,34.5,34.85,-0.35,-1.0043,14682.24,51047.801
中船特气,688146.SH,20231129,35.0,35.58,34.79,34.85,35.0,-0.15,-0.4286,9220.01,32444.446
中船特气,688146.SH,20231128,34.45,35.3,34.36,35.0,34.48,0.52,1.5081,12709.28,44395.577
中船特气,688146.SH,20231127,34.46,34.88,34.0,34.48,34.52,-0.04,-0.1159,14696.21,50693.12
中船特气,688146.SH,20231124,35.6,35.6,34.4,34.52,35.6,-1.08,-3.0337,13989.66,48683.677
中船特气,688146.SH,20231123,35.15,35.64,34.73,35.6,35.15,0.45,1.2802,11142.62,39243.541
中船特气,688146.SH,20231122,35.8,36.15,35.14,35.15,36.05,-0.9,-2.4965,14339.82,50952.814
中船特气,688146.SH,20231121,36.82,37.04,35.98,36.05,36.78,-0.73,-1.9848,15381.54,55724.489
中船特气,688146.SH,20231120,36.2,37.06,35.82,36.78,36.1,0.68,1.8837,19242.69,70461.315
中船特气,688146.SH,20231117,35.65,36.16,35.6,36.1,35.74,0.36,1.0073,8105.09,29155.337
中船特气,688146.SH,20231116,36.28,36.37,35.7,35.74,36.56,-0.82,-2.2429,10998.08,39533.631
中船特气,688146.SH,20231115,36.9,37.1,36.43,36.56,36.46,0.1,0.2743,15293.3,56119.849
中船特气,688146.SH,20231114,36.05,36.85,35.93,36.46,36.2,0.26,0.7182,10787.96,39305.348
中船特气,688146.SH,20231113,36.44,36.45,35.82,36.2,36.3,-0.1,-0.2755,11759.59,42422.723
中船特气,688146.SH,20231110,36.61,36.84,35.9,36.3,36.46,-0.16,-0.4388,12834.38,46661.565
中船特气,688146.SH,20231109,36.56,37.26,36.08,36.46,36.83,-0.37,-1.0046,13756.21,50340.387
中船特气,688146.SH,20231108,37.15,37.3,36.42,36.83,37.2,-0.37,-0.9946,15143.99,55678.921
中船特气,688146.SH,20231107,37.11,37.41,36.91,37.2,37.15,0.05,0.1346,11334.2,42121.235
中船特气,688146.SH,20231106,36.79,37.54,36.79,37.15,36.7,0.45,1.2262,17960.7,66916.812
中船特气,688146.SH,20231103,35.55,36.87,35.46,36.7,35.53,1.17,3.293,16992.32,61813.714
中船特气,688146.SH,20231102,36.25,36.4,35.49,35.53,36.18,-0.65,-1.7966,13098.82,47076.314
中船特气,688146.SH,20231101,36.22,36.66,36.0,36.18,36.22,-0.04,-0.1104,13568.39,49184.011
中船特气,688146.SH,20231031,37.05,37.73,35.97,36.22,36.67,-0.45,-1.2272,18321.61,67152.682
中船特气,688146.SH,20231030,34.78,36.98,34.78,36.67,34.55,2.12,6.136,34933.09,126310.669
中船特气,688146.SH,20231027,33.32,34.76,33.25,34.55,33.56,0.99,2.9499,16947.86,57686.497
中船特气,688146.SH,20231026,33.5,33.79,32.94,33.56,33.77,-0.21,-0.6219,12396.72,41270.391
中船特气,688146.SH,20231025,33.83,34.26,33.41,33.77,33.83,-0.06,-0.1774,14347.94,48599.187
中船特气,688146.SH,20231024,32.95,34.08,32.8,33.83,32.79,1.04,3.1717,23980.99,80429.078
中船特气,688146.SH,20231023,33.86,33.86,32.06,32.79,34.38,-1.59,-4.6248,44664.16,146287.438
中船特气,688146.SH,20231020,35.36,35.36,34.2,34.38,35.06,-0.68,-1.9395,13312.95,46199.393
中船特气,688146.SH,20231019,34.9,36.27,34.68,35.06,34.98,0.08,0.2287,15072.54,53746.428
中船特气,688146.SH,20231018,35.71,36.06,34.98,34.98,36.02,-1.04,-2.8873,9795.42,34678.031
中船特气,688146.SH,20231017,36.8,36.8,35.52,36.02,36.49,-0.47,-1.288,12432.87,44610.782
中船特气,688146.SH,20231016,37.88,37.95,36.32,36.49,36.47,0.02,0.0548,18813.37,69925.838
中船特气,688146.SH,20231013,36.53,36.78,36.23,36.47,36.8,-0.33,-0.8967,10787.36,39290.208
中船特气,688146.SH,20231012,36.71,36.96,35.81,36.8,36.7,0.1,0.2725,15886.89,57773.883
中船特气,688146.SH,20231011,36.46,36.75,35.99,36.7,36.11,0.59,1.6339,9219.86,33626.918
中船特气,688146.SH,20231010,36.0,36.92,36.0,36.11,36.13,-0.02,-0.0554,8515.62,31030.758
中船特气,688146.SH,20231009,36.36,36.96,35.99,36.13,36.72,-0.59,-1.6068,8655.46,31394.11
