stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
ST美谷,000615.SZ,20231229,3.94,3.94,3.92,3.94,3.75,0.19,5.0667,319374.02,125821.563
ST美谷,000615.SZ,20231228,3.75,3.75,3.75,3.75,3.57,0.18,5.042,15224.0,5709.0
ST美谷,000615.SZ,20231227,3.57,3.57,3.57,3.57,3.4,0.17,5.0,13898.0,4961.586
ST美谷,000615.SZ,20231226,3.4,3.4,3.4,3.4,3.24,0.16,4.9383,42544.02,14464.967
ST美谷,000615.SZ,20231225,3.34,3.39,3.24,3.24,3.41,-0.17,-4.9853,239392.02,78226.029
ST美谷,000615.SZ,20231222,3.53,3.55,3.39,3.41,3.57,-0.16,-4.4818,222768.48,76595.592
ST美谷,000615.SZ,20231221,3.58,3.63,3.48,3.57,3.48,0.09,2.5862,158680.5,56471.586
ST美谷,000615.SZ,20231220,3.53,3.6,3.45,3.48,3.6,-0.12,-3.3333,180486.02,63646.618
ST美谷,000615.SZ,20231219,3.39,3.62,3.31,3.6,3.45,0.15,4.3478,279357.48,99006.274
ST美谷,000615.SZ,20231218,3.45,3.55,3.38,3.45,3.45,0.0,0.0,244248.64,84311.842
ST美谷,000615.SZ,20231215,3.44,3.45,3.35,3.45,3.29,0.16,4.8632,236058.28,80819.802
ST美谷,000615.SZ,20231214,3.25,3.37,3.18,3.29,3.3,-0.01,-0.303,213222.2,69699.269
ST美谷,000615.SZ,20231213,3.46,3.55,3.3,3.3,3.47,-0.17,-4.8991,228649.0,77946.376
ST美谷,000615.SZ,20231212,3.4,3.5,3.37,3.47,3.41,0.06,1.7595,137031.02,47256.552
ST美谷,000615.SZ,20231211,3.37,3.47,3.28,3.41,3.45,-0.04,-1.1594,258216.5,85849.78
ST美谷,000615.SZ,20231208,3.55,3.58,3.44,3.45,3.62,-0.17,-4.6961,219733.46,76277.298
ST美谷,000615.SZ,20231207,3.5,3.65,3.46,3.62,3.49,0.13,3.7249,196985.0,70234.357
ST美谷,000615.SZ,20231206,3.46,3.63,3.44,3.49,3.55,-0.06,-1.6901,187862.0,66198.918
ST美谷,000615.SZ,20231205,3.73,3.74,3.55,3.55,3.74,-0.19,-5.0802,261449.0,93889.317
ST美谷,000615.SZ,20231204,3.76,3.82,3.74,3.74,3.94,-0.2,-5.0761,246083.0,92200.02
ST美谷,000615.SZ,20231201,3.87,3.99,3.74,3.94,3.84,0.1,2.6042,216103.0,83701.586
ST美谷,000615.SZ,20231130,4.0,4.02,3.83,3.84,4.03,-0.19,-4.7146,309513.0,120223.961
ST美谷,000615.SZ,20231129,4.04,4.1,4.01,4.03,4.04,-0.01,-0.2475,132122.0,53517.754
ST美谷,000615.SZ,20231128,4.07,4.11,4.0,4.04,4.11,-0.07,-1.7032,180176.62,72911.423
ST美谷,000615.SZ,20231127,4.02,4.11,3.98,4.11,3.91,0.2,5.1151,261908.3,106202.314
ST美谷,000615.SZ,20231124,3.99,4.0,3.89,3.91,3.93,-0.02,-0.5089,146973.0,57862.147
ST美谷,000615.SZ,20231123,3.98,4.02,3.85,3.93,4.0,-0.07,-1.75,196270.0,77103.116
ST美谷,000615.SZ,20231122,3.93,4.05,3.83,4.0,3.92,0.08,2.0408,320483.0,126803.782
ST美谷,000615.SZ,20231121,3.8,3.92,3.79,3.92,3.73,0.19,5.0938,255067.0,98997.422
ST美谷,000615.SZ,20231120,3.8,3.87,3.71,3.73,3.9,-0.17,-4.359,307787.0,115615.534
ST美谷,000615.SZ,20231117,4.18,4.26,3.9,3.9,4.1,-0.2,-4.878,393071.0,159273.32
ST美谷,000615.SZ,20231116,4.07,4.28,4.03,4.1,4.17,-0.07,-1.6787,313106.0,130017.415
ST美谷,000615.SZ,20231115,3.98,4.19,3.98,4.17,3.99,0.18,4.5113,368454.61,152178.823
ST美谷,000615.SZ,20231114,3.94,4.04,3.84,3.99,3.86,0.13,3.3679,354793.18,140989.861
ST美谷,000615.SZ,20231113,3.86,3.86,3.82,3.86,3.68,0.18,4.8913,156884.0,60544.964
ST美谷,000615.SZ,20231110,3.54,3.7,3.52,3.68,3.61,0.07,1.9391,226731.58,82131.515
ST美谷,000615.SZ,20231109,3.6,3.74,3.56,3.61,3.6,0.01,0.2778,239433.99,87685.278
ST美谷,000615.SZ,20231108,3.74,3.76,3.58,3.6,3.77,-0.17,-4.5093,303540.99,110344.793
ST美谷,000615.SZ,20231107,3.7,3.84,3.62,3.77,3.7,0.07,1.8919,300726.23,112629.825
ST美谷,000615.SZ,20231106,3.85,3.88,3.7,3.7,3.89,-0.19,-4.8843,395090.0,147648.134
ST美谷,000615.SZ,20231103,3.83,3.89,3.6,3.89,3.7,0.19,5.1351,535680.02,203999.144
ST美谷,000615.SZ,20231102,3.7,3.7,3.7,3.7,3.52,0.18,5.1136,21103.0,7808.11
ST美谷,000615.SZ,20231101,3.5,3.52,3.46,3.52,3.35,0.17,5.0746,106157.02,37207.874
ST美谷,000615.SZ,20231031,3.18,3.35,3.17,3.35,3.19,0.16,5.0157,189326.0,62326.723
ST美谷,000615.SZ,20231030,3.16,3.29,3.14,3.19,3.2,-0.01,-0.3125,196479.62,63149.68
ST美谷,000615.SZ,20231027,3.31,3.33,3.18,3.2,3.35,-0.15,-4.4776,354664.54,114247.138
ST美谷,000615.SZ,20231026,3.22,3.38,3.16,3.35,3.22,0.13,4.0373,356062.62,117766.079
ST美谷,000615.SZ,20231025,3.09,3.24,3.0,3.22,3.09,0.13,4.2071,334490.0,105754.912
ST美谷,000615.SZ,20231024,3.09,3.15,3.08,3.09,3.24,-0.15,-4.6296,341056.62,105412.963
ST美谷,000615.SZ,20231023,3.21,3.34,3.18,3.24,3.18,0.06,1.8868,367758.02,120917.243
ST美谷,000615.SZ,20231020,3.25,3.34,3.17,3.18,3.34,-0.16,-4.7904,324382.02,103474.45
ST美谷,000615.SZ,20231019,3.34,3.49,3.34,3.34,3.52,-0.18,-5.1136,431485.56,145349.378
ST美谷,000615.SZ,20231018,3.52,3.52,3.52,3.52,3.71,-0.19,-5.1213,31849.0,11210.848
ST美谷,000615.SZ,20231017,3.93,3.93,3.71,3.71,3.9,-0.19,-4.8718,177401.0,66590.672
ST美谷,000615.SZ,20231016,3.97,4.07,3.85,3.9,3.97,-0.07,-1.7632,280831.02,111213.646
ST美谷,000615.SZ,20231013,3.9,4.02,3.81,3.97,3.9,0.07,1.7949,305258.0,120193.696
