stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
有研粉材,688456.SH,20231229,27.87,28.48,27.62,28.17,28.09,0.08,0.2848,8275.17,23232.023
有研粉材,688456.SH,20231228,28.5,28.5,26.86,28.09,27.3,0.79,2.8938,16081.25,44518.07
有研粉材,688456.SH,20231227,28.53,28.53,27.0,27.3,28.89,-1.59,-5.5036,18252.77,50102.01
有研粉材,688456.SH,20231226,28.82,28.89,27.58,28.89,28.5,0.39,1.3684,9065.22,25410.647
有研粉材,688456.SH,20231225,30.0,30.0,28.01,28.5,28.79,-0.29,-1.0073,10477.07,29780.829
有研粉材,688456.SH,20231222,29.11,29.33,28.51,28.79,29.06,-0.27,-0.9291,4763.27,13773.992
有研粉材,688456.SH,20231221,28.77,29.26,28.22,29.06,28.78,0.28,0.9729,4760.87,13726.408
有研粉材,688456.SH,20231220,29.19,29.58,28.68,28.78,29.27,-0.49,-1.6741,4093.2,11908.043
有研粉材,688456.SH,20231219,29.3,29.3,28.12,29.27,29.15,0.12,0.4117,7231.48,20882.09
有研粉材,688456.SH,20231218,29.61,30.02,29.0,29.15,30.08,-0.93,-3.0918,6832.55,20152.883
有研粉材,688456.SH,20231215,30.55,30.72,29.82,30.08,30.61,-0.53,-1.7315,6108.3,18380.033
有研粉材,688456.SH,20231214,30.9,30.95,30.27,30.61,30.72,-0.11,-0.3581,8844.48,27061.142
有研粉材,688456.SH,20231213,30.91,31.5,30.66,30.72,30.89,-0.17,-0.5503,8531.31,26512.644
有研粉材,688456.SH,20231212,31.32,31.32,30.6,30.89,31.0,-0.11,-0.3548,5412.09,16674.725
有研粉材,688456.SH,20231211,30.73,31.02,30.21,31.0,30.85,0.15,0.4862,5586.8,17156.718
有研粉材,688456.SH,20231208,30.86,31.08,30.54,30.85,30.98,-0.13,-0.4196,5448.7,16742.995
有研粉材,688456.SH,20231207,31.28,31.28,30.62,30.98,31.41,-0.43,-1.369,6013.22,18593.933
有研粉材,688456.SH,20231206,31.01,32.0,31.0,31.41,31.31,0.1,0.3194,10197.53,32133.84
有研粉材,688456.SH,20231205,31.31,31.72,30.86,31.31,31.5,-0.19,-0.6032,9437.49,29490.311
有研粉材,688456.SH,20231204,31.01,31.68,30.72,31.5,30.99,0.51,1.6457,11749.2,36712.399
有研粉材,688456.SH,20231201,30.78,31.08,30.39,30.99,30.78,0.21,0.6823,7529.59,23169.58
有研粉材,688456.SH,20231130,31.1,31.21,30.3,30.78,30.99,-0.21,-0.6776,10218.41,31391.199
有研粉材,688456.SH,20231129,30.76,31.48,30.42,30.99,30.72,0.27,0.8789,11380.56,35350.818
有研粉材,688456.SH,20231128,30.09,30.9,29.91,30.72,30.02,0.7,2.3318,9860.13,30149.974
有研粉材,688456.SH,20231127,29.91,30.26,29.66,30.02,29.97,0.05,0.1668,6549.04,19610.82
有研粉材,688456.SH,20231124,31.04,31.3,29.88,29.97,31.19,-1.22,-3.9115,10528.68,31877.706
有研粉材,688456.SH,20231123,30.81,31.31,30.59,31.19,30.78,0.41,1.332,7560.83,23389.351
有研粉材,688456.SH,20231122,31.26,31.69,30.71,30.78,31.45,-0.67,-2.1304,7813.35,24241.073
有研粉材,688456.SH,20231121,31.93,32.13,31.26,31.45,31.98,-0.53,-1.6573,8632.9,27289.571
有研粉材,688456.SH,20231120,32.73,32.75,31.64,31.98,32.6,-0.62,-1.9018,21075.38,67594.699
有研粉材,688456.SH,20231117,29.52,32.96,29.52,32.6,29.77,2.83,9.5062,34471.56,109890.96
有研粉材,688456.SH,20231116,29.97,30.46,29.5,29.77,30.01,-0.24,-0.7997,7238.36,21672.377
有研粉材,688456.SH,20231115,30.31,30.6,29.72,30.01,30.01,0.0,0.0,6005.17,18054.671
有研粉材,688456.SH,20231114,30.26,30.26,29.6,30.01,30.19,-0.18,-0.5962,9102.68,27241.432
有研粉材,688456.SH,20231113,29.52,30.21,29.11,30.19,29.4,0.79,2.6871,11341.29,33721.135
有研粉材,688456.SH,20231110,29.46,29.85,28.5,29.4,29.86,-0.46,-1.5405,8526.98,25015.828
有研粉材,688456.SH,20231109,29.92,30.46,29.5,29.86,30.18,-0.32,-1.0603,11110.43,33155.215
有研粉材,688456.SH,20231108,30.62,30.66,29.75,30.18,30.75,-0.57,-1.8537,13688.12,41132.837
有研粉材,688456.SH,20231107,29.39,30.96,29.0,30.75,29.5,1.25,4.2373,23399.93,70551.959
有研粉材,688456.SH,20231106,27.66,29.7,27.46,29.5,27.29,2.21,8.0982,27545.36,78882.637
有研粉材,688456.SH,20231103,27.08,27.75,27.01,27.29,27.24,0.05,0.1836,11058.19,30263.86
有研粉材,688456.SH,20231102,27.85,28.49,27.05,27.24,27.77,-0.53,-1.9085,9705.8,26777.175
有研粉材,688456.SH,20231101,27.6,28.29,27.44,27.77,27.54,0.23,0.8351,10925.24,30459.523
有研粉材,688456.SH,20231031,28.01,28.15,27.24,27.54,28.13,-0.59,-2.0974,10938.75,30137.689
有研粉材,688456.SH,20231030,28.2,28.7,27.35,28.13,28.4,-0.27,-0.9507,10368.09,28948.515
有研粉材,688456.SH,20231027,28.47,28.78,27.36,28.4,28.41,-0.01,-0.0352,7213.65,20265.529
有研粉材,688456.SH,20231026,28.39,28.88,27.74,28.41,28.5,-0.09,-0.3158,5512.38,15517.987
有研粉材,688456.SH,20231025,28.8,29.37,28.37,28.5,28.68,-0.18,-0.6276,4952.1,14224.919
有研粉材,688456.SH,20231024,27.87,28.77,27.05,28.68,27.45,1.23,4.4809,8257.41,23289.243
有研粉材,688456.SH,20231023,28.11,28.37,27.0,27.45,28.58,-1.13,-3.9538,7082.07,19650.117
有研粉材,688456.SH,20231020,28.86,29.19,28.49,28.58,28.85,-0.27,-0.9359,5298.69,15286.365
有研粉材,688456.SH,20231019,28.7,29.38,28.12,28.85,28.92,-0.07,-0.242,5959.89,17221.099
