stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
怡合达,301029.SZ,20231229,25.32,25.92,25.32,25.78,25.32,0.46,1.8167,50754.11,130452.348
怡合达,301029.SZ,20231228,23.95,25.51,23.95,25.32,24.01,1.31,5.4561,56711.72,141487.797
怡合达,301029.SZ,20231227,24.0,24.13,23.75,24.01,24.02,-0.01,-0.0416,28984.2,69301.206
怡合达,301029.SZ,20231226,24.34,24.49,23.92,24.02,24.36,-0.34,-1.3957,23538.16,56600.789
怡合达,301029.SZ,20231225,24.6,24.85,24.13,24.36,24.51,-0.15,-0.612,31284.69,76399.953
怡合达,301029.SZ,20231222,24.46,24.89,24.03,24.51,24.47,0.04,0.1635,43097.6,105402.965
怡合达,301029.SZ,20231221,23.98,24.75,23.75,24.47,24.15,0.32,1.3251,38689.16,93829.458
怡合达,301029.SZ,20231220,24.3,24.68,24.15,24.15,24.25,-0.1,-0.4124,29516.24,72005.173
怡合达,301029.SZ,20231219,24.22,24.53,23.99,24.25,24.21,0.04,0.1652,26869.4,65071.458
怡合达,301029.SZ,20231218,24.66,24.76,24.11,24.21,24.78,-0.57,-2.3002,27156.95,66217.291
怡合达,301029.SZ,20231215,25.15,25.22,24.69,24.78,24.98,-0.2,-0.8006,29100.64,72573.391
怡合达,301029.SZ,20231214,25.01,25.48,24.98,24.98,24.99,-0.01,-0.04,33635.19,84708.17
怡合达,301029.SZ,20231213,25.9,25.99,24.93,24.99,26.15,-1.16,-4.4359,68590.58,172853.427
怡合达,301029.SZ,20231212,26.49,26.68,26.07,26.15,26.57,-0.42,-1.5807,34576.94,91012.884
怡合达,301029.SZ,20231211,26.56,26.6,25.97,26.57,26.48,0.09,0.3399,42203.77,110782.912
怡合达,301029.SZ,20231208,26.56,27.15,26.48,26.48,26.61,-0.13,-0.4885,48452.86,129828.191
怡合达,301029.SZ,20231207,26.77,26.83,26.25,26.61,26.83,-0.22,-0.82,30355.28,80562.149
怡合达,301029.SZ,20231206,26.51,27.27,26.48,26.83,26.69,0.14,0.5245,29082.5,78311.874
怡合达,301029.SZ,20231205,27.35,27.7,26.66,26.69,27.5,-0.81,-2.9455,39083.83,106227.794
怡合达,301029.SZ,20231204,27.81,27.91,27.44,27.5,27.8,-0.3,-1.0791,26474.16,73092.279
怡合达,301029.SZ,20231201,28.23,28.23,27.51,27.8,28.21,-0.41,-1.4534,40477.04,112420.668
怡合达,301029.SZ,20231130,28.65,28.72,28.01,28.21,28.55,-0.34,-1.1909,29240.88,82537.161
怡合达,301029.SZ,20231129,28.82,29.16,28.46,28.55,28.83,-0.28,-0.9712,29983.75,86210.932
怡合达,301029.SZ,20231128,28.58,28.99,28.42,28.83,28.55,0.28,0.9807,27725.86,79618.004
怡合达,301029.SZ,20231127,28.9,29.12,28.2,28.55,28.9,-0.35,-1.2111,48237.6,137546.791
怡合达,301029.SZ,20231124,29.65,29.67,28.82,28.9,29.67,-0.77,-2.5952,37034.87,107602.138
怡合达,301029.SZ,20231123,29.24,30.16,29.2,29.67,29.31,0.36,1.2282,37528.17,111302.576
怡合达,301029.SZ,20231122,30.2,30.2,29.29,29.31,30.19,-0.88,-2.9149,40635.22,120625.931
怡合达,301029.SZ,20231121,30.73,30.85,30.09,30.19,30.8,-0.61,-1.9805,53857.15,163662.797
怡合达,301029.SZ,20231120,29.57,31.17,29.52,30.8,29.43,1.37,4.6551,92983.79,283361.395
怡合达,301029.SZ,20231117,29.21,29.58,29.17,29.43,29.22,0.21,0.7187,30217.51,88882.433
怡合达,301029.SZ,20231116,30.11,30.16,29.22,29.22,30.31,-1.09,-3.5962,48279.91,142845.543
怡合达,301029.SZ,20231115,30.03,30.68,30.01,30.31,29.78,0.53,1.7797,69708.03,211167.444
怡合达,301029.SZ,20231114,29.8,30.05,29.62,29.78,29.86,-0.08,-0.2679,34538.53,102851.044
怡合达,301029.SZ,20231113,29.88,30.1,29.52,29.86,29.61,0.25,0.8443,41585.65,123874.922
怡合达,301029.SZ,20231110,29.86,29.94,29.51,29.61,30.0,-0.39,-1.3,35108.59,104197.351
怡合达,301029.SZ,20231109,29.58,30.45,29.42,30.0,29.59,0.41,1.3856,59736.12,179606.071
怡合达,301029.SZ,20231108,29.24,29.7,28.81,29.59,29.24,0.35,1.197,79436.18,231997.812
怡合达,301029.SZ,20231107,29.8,29.82,28.89,29.24,29.22,0.02,0.0684,82510.92,241710.847
怡合达,301029.SZ,20231106,27.93,29.28,27.7,29.22,27.93,1.29,4.6187,130375.04,372533.343
